"id","القرية","العزلة","المديرية","المحافظة"
1,"الصباحى","البحريين","اب","اب"
2,"المحجر","البحريين","اب","اب"
3,"المحشايه","البحريين","اب","اب"
4,"المحل","البحريين","اب","اب"
5,"المربض","البحريين","اب","اب"
6,"المصانع","البحريين","اب","اب"
7,"ذى كريب","البحريين","اب","اب"
8,"السعديه","الحوج القبلي","الظهار","اب"
9,"المامج","الحوج القبلي","الظهار","اب"
10,"المنجيه","الحوج القبلي","الظهار","اب"
11,"بعسنه","الحوج القبلي","الظهار","اب"
12,"جولبة العليا","الحوج القبلي","الظهار","اب"
13,"جولبةالسفلى","الحوج القبلي","الظهار","اب"
14,"دار عماري","الحوج القبلي","الظهار","اب"
15,"دارمرشد","الحوج القبلي","الظهار","اب"
16,"رداح السبار","الحوج القبلي","الظهار","اب"
17,"هدام","الحوج القبلي","الظهار","اب"
18,"وادى قضام","الحوج القبلي","الظهار","اب"
19,"الدنوه القبليه","الروس","اب","اب"
20,"السر","الروس","اب","اب"
21,"الشرنمه","الروس","اب","اب"
22,"الضبر","الروس","اب","اب"
23,"الضبره","الروس","اب","اب"
24,"المحاط","الروس","اب","اب"
25,"المعاين","الروس","اب","اب"
26,"اليهاري","الروس","اب","اب"
27,"ذى شعيره","الروس","اب","اب"
28,"ماتر","الروس","اب","اب"
29,"نعمان الدارالاسفل","الروس","اب","اب"
30,"الجبجب","المقاطن","اب","اب"
31,"الجعاشي","المقاطن","اب","اب"
32,"السوارى","المقاطن","اب","اب"
33,"الشياحي","المقاطن","اب","اب"
34,"الصافيه","المقاطن","اب","اب"
35,"الضفضف","المقاطن","اب","اب"
36,"الضوالع","المقاطن","اب","اب"
37,"العارضه","المقاطن","اب","اب"
38,"العجابى","المقاطن","اب","اب"
39,"المعبر","المقاطن","اب","اب"
40,"الميدان","المقاطن","اب","اب"
41,"الوهارى","المقاطن","اب","اب"
42,"بيت السريحى","المقاطن","اب","اب"
43,"بيت مراد","المقاطن","اب","اب"
44,"جبات","المقاطن","اب","اب"
45,"جعران","المقاطن","اب","اب"
46,"حقله","المقاطن","اب","اب"
47,"شذبان","المقاطن","اب","اب"
48,"فروع","المقاطن","اب","اب"
49,"الشماحى","المويه","اب","اب"
50,"المنظر","المويه","اب","اب"
51,"بيت الغبان","المويه","اب","اب"
52,"بيت سعيد ناصر","المويه","اب","اب"
53,"دار المويه","المويه","اب","اب"
